game_id,player_id,pos,player,team,pass_cmp,pass_att,pass_yds,pass_td,pass_int,pass_sacked,pass_sacked_yds,pass_long,pass_rating,rush_att,rush_yds,rush_td,rush_long,targets,rec,rec_yds,rec_td,rec_long,fumbles_lost,rush_scrambles,designed_rush_att,comb_pass_rush_play,comb_pass_play,comb_rush_play,Team_abbrev,Opponent_abbrev,two_point_conv,total_ret_td,offensive_fumble_recovery_td,pass_yds_bonus,rush_yds_bonus,rec_yds_bonus,Total_DKP,Off_DKP,Total_FDP,Off_FDP,Total_SDP,Off_SDP,pass_target_yds,pass_poor_throws,pass_blitzed,pass_hurried,rush_yds_before_contact,rush_yac,rush_broken_tackles,rec_air_yds,rec_yac,rec_drops,offense,off_pct,vis_team,home_team,vis_score,home_score,OT,Roof,Surface,Temperature,Humidity,Wind_Speed,Vegas_Line,Vegas_Favorite,Over_Under,game_date
202109090tam,PresDa01,QB,Dak Prescott,DAL,42,58,403,3,1,1,12,31,101.4,4,13,0,7,0,0,0,0,0,0,3,1,63,62,1,DAL,TAM,0,0,0,1,0,0,31.42,31.42,27.42,27.42,30.42,30.42,370,9,33,2,8,5,0,0,0,0,83,99,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,ElliEz00,RB,Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,0,11,33,0,13,2,2,6,0,3,0,0,11,11,0,11,DAL,TAM,0,0,0,0,0,0,5.9,5.9,4.9,4.9,4.9,4.9,0,0,0,0,20,13,0,0,6,0,70,83,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,PollTo00,RB,Tony Pollard,DAL,0,0,0,0,0,0,0,0,0,3,14,0,11,4,4,29,0,11,0,0,3,3,0,3,DAL,TAM,0,0,0,0,0,0,8.3,8.3,6.3,6.3,6.3,6.3,0,0,0,0,10,4,0,-9.2,38,0,20,24,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,CoopAm00,WR,Amari Cooper,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,139,2,28,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,1,41.9,41.9,32.4,32.4,34.4,34.4,0,0,0,0,0,0,0,126.4,29,0,74,88,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,LambCe00,WR,CeeDee Lamb,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,104,1,31,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,1,26.4,26.4,19.9,19.9,21.9,21.9,0,0,0,0,0,0,0,144,63,2,61,73,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,SchuDa00,TE,Dalton Schultz,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,45,0,16,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,0,10.5,10.5,7.5,7.5,7.5,7.5,0,0,0,0,0,0,0,13.8,31,0,57,68,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,GallMi00,WR,Michael Gallup,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,36,0,12,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,0,7.6,7.6,5.6,5.6,5.6,5.6,0,0,0,0,0,0,0,42,26,0,50,60,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,WilsCe01,WR,Cedrick Wilson Jr.,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,24,0,13,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,0,5.4,5.4,3.9,3.9,3.9,3.9,0,0,0,0,0,0,0,24,0,0,34,40,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,JarwBl00,TE,Blake Jarwin,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,20,0,7,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,0,5,5,3.5,3.5,3.5,3.5,0,0,0,0,0,0,0,15.2,5,0,48,57,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,BradTo00,QB,Tom Brady,TAM,32,50,379,4,2,0,0,47,97,0,0,0,0,0,0,0,0,0,0,0,0,50,50,0,TAM,DAL,0,0,0,1,0,0,32.16,32.16,27.16,27.16,31.16,31.16,454,7,12,1,0,0,0,0,0,0,65,100,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,FourLe00,RB,Leonard Fournette,TAM,0,0,0,0,0,0,0,0,0,9,32,0,7,7,5,27,0,10,0,0,9,9,0,9,TAM,DAL,0,0,0,0,0,0,10.9,10.9,8.4,8.4,8.4,8.4,0,0,0,0,14,18,1,-4.2,35,1,42,65,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,JoneRo01,RB,Ronald Jones II,TAM,0,0,0,0,0,0,0,0,0,4,14,0,5,0,0,0,0,0,1,0,4,4,0,4,TAM,DAL,0,0,0,0,0,0,0.4,0.4,-0.6,-0.6,-0.6,-0.6,0,0,0,0,8,6,0,0,0,0,6,9,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,BrowAn04,WR,Antonio Brown,TAM,0,0,0,0,0,0,0,0,0,1,6,0,6,7,5,121,1,47,0,0,1,1,0,1,TAM,DAL,0,0,0,0,0,1,26.7,26.7,21.2,21.2,23.2,23.2,0,0,0,0,5,1,0,144.2,27,0,42,65,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,GodwCh00,WR,Chris Godwin,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,105,1,24,1,0,0,0,0,0,TAM,DAL,0,0,0,0,0,1,27.5,27.5,19,19,21,21,0,0,0,0,0,0,0,110.6,58,2,64,98,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,GronRo00,TE,Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,90,2,20,0,0,0,0,0,0,TAM,DAL,0,0,0,0,0,0,29,29,25,25,25,25,0,0,0,0,0,0,0,52.8,37,0,57,88,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,EvanMi00,WR,Mike Evans,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,24,0,10,0,0,0,0,0,0,TAM,DAL,0,0,0,0,0,0,5.4,5.4,3.9,3.9,3.9,3.9,0,0,0,0,0,0,0,46.2,6,0,61,94,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,BernGi00,RB,Giovani Bernard,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,12,0,8,0,0,0,0,0,0,TAM,DAL,0,0,0,0,0,0,3.2,3.2,2.2,2.2,2.2,2.2,0,0,0,0,0,0,0,18.9,13,0,17,26,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,JohnTy00,WR,Tyler Johnson,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,TAM,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,5,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,MillSc01,WR,Scott Miller,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TAM,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,SpriJe00,TE,Jeremy Sprinkle,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,ClemCo00,RB,Corey Clement,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DAL,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,BratCa00,TE,Cameron Brate,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TAM,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,28,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109090tam,HowaO.00,TE,O.J. Howard,TAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TAM,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,DAL,TAM,29,31,FALSE,outdoors,grass,82,85,9,-8.5,TAM,52,9/9/2021
202109120atl,HurtJa00,QB,Jalen Hurts,PHI,27,35,264,3,0,1,3,28,126.4,7,62,0,14,0,0,0,0,0,0,3,4,43,39,4,PHI,ATL,0,0,0,0,0,0,28.76,28.76,28.76,28.76,28.76,28.76,128,2,15,5,51,11,1,0,0,0,71,100,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,SmitKe03,TE,Keith Smith,ATL,0,0,0,0,0,0,0,0,0,2,13,0,8,3,3,18,0,9,0,0,2,2,0,2,ATL,PHI,0,0,0,0,0,0,6.1,6.1,4.6,4.6,4.6,4.6,0,0,0,0,13,0,0,9.9,8,0,21,29,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,RidlCa00,WR,Calvin Ridley,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,51,0,16,0,0,0,0,0,0,ATL,PHI,0,0,0,0,0,0,10.1,10.1,7.6,7.6,7.6,7.6,0,0,0,0,0,0,0,92,6,1,61,85,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,PittKy00,TE,Kyle Pitts,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,31,0,18,0,0,0,0,0,0,ATL,PHI,0,0,0,0,0,0,7.1,7.1,5.1,5.1,5.1,5.1,0,0,0,0,0,0,0,60,2,0,49,68,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,SandMi01,RB,Miles Sanders,PHI,0,0,0,0,0,0,0,0,0,15,74,0,23,5,4,39,0,25,0,0,15,15,0,15,PHI,ATL,1,0,0,0,0,0,17.3,17.3,15.3,15.3,15.3,15.3,0,0,0,0,65,9,0,-10,51,0,47,66,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,GainKe00,RB,Kenneth Gainwell,PHI,0,0,0,0,0,0,0,0,0,9,37,1,8,3,2,6,0,9,0,0,9,9,0,9,PHI,ATL,0,0,0,0,0,0,12.3,12.3,11.3,11.3,11.3,11.3,0,0,0,0,35,2,0,-3,10,0,25,35,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,SmitDe07,WR,DeVonta Smith,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,71,1,19,0,0,0,0,0,0,PHI,ATL,0,0,0,0,0,0,19.1,19.1,16.1,16.1,16.1,16.1,0,0,0,0,0,0,0,56,17,0,62,87,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,ReagJa00,WR,Jalen Reagor,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,49,1,23,0,0,0,0,0,0,PHI,ATL,0,0,0,0,0,0,16.9,16.9,13.9,13.9,13.9,13.9,0,0,0,0,0,0,0,6,43,0,50,70,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,GoedDa00,TE,Dallas Goedert,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,42,1,13,0,0,0,0,0,0,PHI,ATL,0,0,0,0,0,0,14.2,14.2,12.2,12.2,12.2,12.2,0,0,0,0,0,0,0,34,18,0,52,73,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,ErtzZa00,TE,Zach Ertz,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,34,0,28,0,0,0,0,0,0,PHI,ATL,0,0,0,0,0,0,5.4,5.4,4.4,4.4,4.4,4.4,0,0,0,0,0,0,0,31,3,0,41,58,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,WatkQu00,WR,Quez Watkins,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,23,0,11,0,0,0,0,0,0,PHI,ATL,0,0,0,0,0,0,5.3,5.3,3.8,3.8,3.8,3.8,0,0,0,0,0,0,0,-6.9,30,0,34,48,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,RyanMa00,QB,Matt Ryan,ATL,21,35,164,0,0,3,28,18,71.6,2,8,0,8,0,0,0,0,0,0,1,1,40,39,1,ATL,PHI,0,0,0,0,0,0,7.36,7.36,7.36,7.36,7.36,7.36,179,9,4,3,8,0,0,0,0,0,70,97,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
202109120atl,PattCo00,RB,Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,0,7,54,0,14,2,2,13,0,12,0,0,7,7,0,7,ATL,PHI,0,0,0,0,0,0,8.7,8.7,7.7,7.7,7.7,7.7,0,0,0,0,35,19,1,5,8,0,24,33,PHI,ATL,32,6,FALSE,retractable roof (open),fieldturf,72,45,0,-3.5,ATL,49,9/12/2021
